CAS No.,Chemical Name,Species Name,Common Name,Effect,Measurement,Endpoint,Dur (Std),Conc. Type,Conc. Mean (Std),Conc. Units (Std),Pub. Year,Citation
111988499,Thiacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,21,Active ingredient,0.00048,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,28,Active ingredient,0.00065,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Epeorus longimanus,Mayfly,Mortality,Mortality,LC50,4,Active ingredient,0.00065,AI mg/L,2007,"Alexander,A.C., J.M. Culp, K. Liber, and A.J. Cessna. Effects of Insecticide Exposure on Feeding Inhibition in Mayflies and Oligochaetes. Environ. Toxicol. Chem.26(8): 1726-1732, 2007. ECOREF #102580"
138261413,Imidacloprid,Apis mellifera,Honey Bee,Mortality,Mortality,LOEL,10,Formulation,0.0007,AI ug/g food,2010,"Alaux,C., J.L. Brunet, C. Dussaubat, F. Mondet, S. Tchamitchan, M. Cousin, J. Brillard, A. Baldy, L.P. Belzunces, and Y. Interactions Between Nosema Microspores and a Neonicotinoid Weaken Honeybees (Apis mellifera). Environ. Microbiol.12(3): 774-782, 2010. ECOREF #168993"
111988499,Thiacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,14,Active ingredient,0.00071,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
153719234,Thiamethoxam,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,28,Active ingredient,0.00081,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,21,Active ingredient,0.00082,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,28,Active ingredient,0.00085,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
153719234,Thiamethoxam,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,28,Active ingredient,0.00094,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
153719234,Thiamethoxam,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,21,Active ingredient,0.00095,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Hyalella azteca,Scud,Mortality,Mortality,NOEL,2,Active ingredient,0.00097,AI mg/L,1992,"U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
138261413,Imidacloprid,Chironomus sp.,Midge,Mortality,Mortality,NOEL,2,Active ingredient,0.00104,AI mg/L,1992,"U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
111988499,Thiacloprid,Chironomus tepperi,Rice Bloodworm,Mortality,Mortality,LC50,1,Active ingredient,0.00106,AI mg/L,2005,"Stevens,M.M., S. Helliwell, and P.A. Hughes. Toxicity of Bacillus thuringiensis var. israelensis Formulations, Spinosad, and Selected Synthetic Insecticides to Chironomus tepperi Larvae. J. Am. Mosq. Control Assoc.21(4): 446-450, 2005. ECOREF #173482"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,21,Active ingredient,0.0011,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
153719234,Thiamethoxam,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,14,Active ingredient,0.0011,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
153719234,Thiamethoxam,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,21,Active ingredient,0.0011,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,7,Active ingredient,0.0012,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
153719234,Thiamethoxam,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,14,Active ingredient,0.0012,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Asellus aquaticus,Aquatic Sowbug,Mortality,Mortality,LC10,28,Formulation,0.00135,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
138261413,Imidacloprid,Apis mellifera ssp. ligustica,Italian Honeybee,Mortality,Mortality,NOEL,10,Active ingredient,0.0015,AI ug/g food,2003,"Stadler,T., D.M. Gines, and M. Buteler. Long-Term Toxicity Assessment of Imidacloprid to Evaluate Side Effects on Honey Bees Exposed to Treated Sunflower in Argentina. Bull. Insectol.56(1): 77-81, 2003. ECOREF #81996"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,14,Active ingredient,0.0015,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
111988499,Thiacloprid,Chironomus tepperi,Rice Bloodworm,Mortality,Mortality,LC90,1,Active ingredient,0.00158,AI mg/L,2005,"Stevens,M.M., S. Helliwell, and P.A. Hughes. Toxicity of Bacillus thuringiensis var. israelensis Formulations, Spinosad, and Selected Synthetic Insecticides to Chironomus tepperi Larvae. J. Am. Mosq. Control Assoc.21(4): 446-450, 2005. ECOREF #173482"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,7,Active ingredient,0.0017,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Chaoborus obscuripes,Midge,Mortality,Mortality,LC10,28,Formulation,0.00199,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
111988499,Thiacloprid,Gammarus fossarum,Scud,Mortality,Mortality,NR-ZERO,7,Formulation,0.002,AI mg/L,2017,"Englert,D., J.P. Zubrod, M. Link, S. Mertins, R. Schulz, and M. Bundschuh. Does Waterborne Exposure Explain Effects Caused by Neonicotinoid-Contaminated Plant Material in Aquatic Systems?. Environ. Sci. Technol.51(10): 5793-5802, 2017. ECOREF #175425"
138261413,Imidacloprid,Bombus terrestris,Buff Tailed Bumblebee,Mortality,Mortality,NOEL,14,Formulation,0.002,AI ug/g food,2010,"Mommaerts,V., S. Reynders, J. Boulet, L. Besard, G. Sterk, and G. Smagghe. Risk Assessment for Side-Effects of Neonicotinoids Against  Bumblebees with and Without Impairing Foraging Behavior. Ecotoxicology19(1): 207-215, 2010. ECOREF #159465"
138261413,Imidacloprid,Bombus terrestris,Buff Tailed Bumblebee,Mortality,Mortality,NR-ZERO,14,Formulation,0.002,AI ug/g food,2010,"Mommaerts,V., S. Reynders, J. Boulet, L. Besard, G. Sterk, and G. Smagghe. Risk Assessment for Side-Effects of Neonicotinoids Against  Bumblebees with and Without Impairing Foraging Behavior. Ecotoxicology19(1): 207-215, 2010. ECOREF #159465"
138261413,Imidacloprid,Apis mellifera,Honey Bee,Mortality,Mortality,NOEL,12,Formulation,0.002,AI ug/g food,2014,"Aufauvre,J., B. Misme-Aucouturier, B. Vigues, C. Texier, F. Delbac, and N. Blot. Transcriptome Analyses of the Honeybee Response to Nosema ceranae and Insecticides. PLoS One9(3): 12 p., 2014. ECOREF #168910"
138261413,Imidacloprid,Echinoparyphium sp.,Trematode,Mortality,Mortality,LOEL,0.25,Active ingredient,0.002,AI mg/L,2016,"Hua,J., N. Buss, J. Kim, S.A. Orlofske, and J.T. Hoverman. Population-Specific Toxicity of Six Insecticides to the Trematode Echinoparyphium sp.. Parasitology143:542-550, 2016. ECOREF #173128"
138261413,Imidacloprid,Echinoparyphium sp.,Trematode,Mortality,Mortality,LOEL,0.25,Active ingredient,0.002,AI mg/L,2016,"Hua,J., N. Buss, J. Kim, S.A. Orlofske, and J.T. Hoverman. Population-Specific Toxicity of Six Insecticides to the Trematode Echinoparyphium sp.. Parasitology143:542-550, 2016. ECOREF #173128"
138261413,Imidacloprid,Aedes aegypti,Yellow Fever Mosquito,Mortality,Mortality,NR-ZERO,1,Active ingredient,0.002,AI mg/L,2009,"Pridgeon,J.W., J.J. Becnel, G.G. Clark, and K.J. Linthicum. A High-Throughput Screening Method to Identify Potential Pesticides for Mosquito Control. J. Med. Entomol.46(2): 335-341, 2009. ECOREF #116328"
153719234,Thiamethoxam,Echinoparyphium sp.,Trematode,Mortality,Mortality,LOEL,0.25,Active ingredient,0.002,AI mg/L,2016,"Hua,J., N. Buss, J. Kim, S.A. Orlofske, and J.T. Hoverman. Population-Specific Toxicity of Six Insecticides to the Trematode Echinoparyphium sp.. Parasitology143:542-550, 2016. ECOREF #173128"
138261413,Imidacloprid,Ceriodaphnia dubia,Water Flea,Mortality,Mortality,LC50,2,Active ingredient,0.00207,AI mg/L,2010,"Chen,X.D., E. Culbert, V. Hebert, and J.D. Stark. Mixture Effects of the Nonylphenyl Polyethoxylate, R-11 and the Insecticide, Imidacloprid on Population Growth Rate and Other Parameters of the Crustacean, Ceriodaphnia dubia. Ecotoxicol. Environ. Saf.73(2): 132-137, 2010. ECOREF #151757"
138261413,Imidacloprid,Epeorus longimanus,Mayfly,Mortality,Mortality,LC50,1,Active ingredient,0.0021,AI mg/L,2007,"Alexander,A.C., J.M. Culp, K. Liber, and A.J. Cessna. Effects of Insecticide Exposure on Feeding Inhibition in Mayflies and Oligochaetes. Environ. Toxicol. Chem.26(8): 1726-1732, 2007. ECOREF #102580"
138261413,Imidacloprid,Epeorus longimanus,Mayfly,Mortality,Mortality,LC50,1,Active ingredient,0.0021,AI mg/L,2007,"Alexander,A.C., J.M. Culp, K. Liber, and A.J. Cessna. Effects of Insecticide Exposure on Feeding Inhibition in Mayflies and Oligochaetes. Environ. Toxicol. Chem.26(8): 1726-1732, 2007. ECOREF #102580"
135410207,Acetamiprid,Chironomus tepperi,Rice Bloodworm,Mortality,Mortality,LC50,1,Active ingredient,0.00222,AI mg/L,2005,"Stevens,M.M., S. Helliwell, and P.A. Hughes. Toxicity of Bacillus thuringiensis var. israelensis Formulations, Spinosad, and Selected Synthetic Insecticides to Chironomus tepperi Larvae. J. Am. Mosq. Control Assoc.21(4): 446-450, 2005. ECOREF #173482"
138261413,Imidacloprid,Hyalella azteca,Scud,Mortality,Mortality,LC25,28,Active ingredient,0.00231,AI mg/L,2008,"Stoughton,S.J., K. Liber, J. Culp, and A. Cessna. Acute and Chronic Toxicity of Imidacloprid to the Aquatic Invertebrates Chironomus tentans and Hyalella azteca Under Constant- and Pulse-Exposure Conditions. Arch. Environ. Contam. Toxicol.54(4): 662-673, 2008. ECOREF #110523"
210880925,Clothianidin,Chironomus dilutus,Midge,Mortality,Mortality,LC50,4,Active ingredient,0.00232,AI mg/L,2015,"De Perre,C., T.M. Murphy, and M.J. Lydy. Fate and Effects of Clothianidin in Fields Using Conservation Practices. Environ. Toxicol. Chem.34(2): 258-265, 2015. ECOREF #173368"
138261413,Imidacloprid,Chironomus tentans,Midge,Mortality,Mortality,LC25,4,Active ingredient,0.00246,AI mg/L,2008,"Stoughton,S.J., K. Liber, J. Culp, and A. Cessna. Acute and Chronic Toxicity of Imidacloprid to the Aquatic Invertebrates Chironomus tentans and Hyalella azteca Under Constant- and Pulse-Exposure Conditions. Arch. Environ. Contam. Toxicol.54(4): 662-673, 2008. ECOREF #110523"
138261413,Imidacloprid,Caenis horaria,Mayfly,Mortality,Mortality,LC10,4,Formulation,0.00255,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
138261413,Imidacloprid,Chironomus dilutus,Midge,Mortality,Mortality,LC50,4,Active ingredient,0.00265,AI mg/L,2012,"LeBlanc,H.M.K., J.M. Culp, D.J. Baird, A.C. Alexander, and A.J. Cessna. Single Versus Combined Lethal Effects of Three Agricultural Insecticides on Larvae of the Freshwater Insect Chironomus dilutus. Arch. Environ. Contam. Toxicol.63(3): 378-390, 2012. ECOREF #160293"
138261413,Imidacloprid,Chironomus tentans,Midge,Mortality,Mortality,LC50,4,Active ingredient,0.00265,AI mg/L,2011,"LeBlanc,H.M.K. Single and Combined Effects of the Agricultural Insecticides Chlorpyrifos, Imidacloprid and Dimethoate on Freshwater Insect Larvae. M.S. Thesis, University of New Brunswick, Canada:113 p., 2011. ECOREF #167874"
210880925,Clothianidin,Chironomus tepperi,Rice Bloodworm,Mortality,Mortality,LC50,1,Active ingredient,0.00283,AI mg/L,2005,"Stevens,M.M., S. Helliwell, and P.A. Hughes. Toxicity of Bacillus thuringiensis var. israelensis Formulations, Spinosad, and Selected Synthetic Insecticides to Chironomus tepperi Larvae. J. Am. Mosq. Control Assoc.21(4): 446-450, 2005. ECOREF #173482"
138261413,Imidacloprid,Chironomus tentans,Midge,Mortality,Mortality,LC25,4,Active ingredient,0.00285,AI mg/L,2008,"Stoughton,S.J., K. Liber, J. Culp, and A. Cessna. Acute and Chronic Toxicity of Imidacloprid to the Aquatic Invertebrates Chironomus tentans and Hyalella azteca Under Constant- and Pulse-Exposure Conditions. Arch. Environ. Contam. Toxicol.54(4): 662-673, 2008. ECOREF #110523"
153719234,Thiamethoxam,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,7,Active ingredient,0.0029,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Chironomus tentans,Midge,Mortality,Mortality,LC25,10,Active ingredient,0.00303,AI mg/L,2008,"Stoughton,S.J., K. Liber, J. Culp, and A. Cessna. Acute and Chronic Toxicity of Imidacloprid to the Aquatic Invertebrates Chironomus tentans and Hyalella azteca Under Constant- and Pulse-Exposure Conditions. Arch. Environ. Contam. Toxicol.54(4): 662-673, 2008. ECOREF #110523"
138261413,Imidacloprid,Chironomus tentans,Midge,Mortality,Mortality,LC25,10,Active ingredient,0.00312,AI mg/L,2008,"Stoughton,S.J., K. Liber, J. Culp, and A. Cessna. Acute and Chronic Toxicity of Imidacloprid to the Aquatic Invertebrates Chironomus tentans and Hyalella azteca Under Constant- and Pulse-Exposure Conditions. Arch. Environ. Contam. Toxicol.54(4): 662-673, 2008. ECOREF #110523"
135410207,Acetamiprid,Chironomus tepperi,Rice Bloodworm,Mortality,Mortality,LC90,1,Active ingredient,0.0033,AI mg/L,2005,"Stevens,M.M., S. Helliwell, and P.A. Hughes. Toxicity of Bacillus thuringiensis var. israelensis Formulations, Spinosad, and Selected Synthetic Insecticides to Chironomus tepperi Larvae. J. Am. Mosq. Control Assoc.21(4): 446-450, 2005. ECOREF #173482"
138261413,Imidacloprid,Hyalella azteca,Scud,Mortality,Mortality,LC25,10,Active ingredient,0.00339,AI mg/L,2008,"Stoughton,S.J., K. Liber, J. Culp, and A. Cessna. Acute and Chronic Toxicity of Imidacloprid to the Aquatic Invertebrates Chironomus tentans and Hyalella azteca Under Constant- and Pulse-Exposure Conditions. Arch. Environ. Contam. Toxicol.54(4): 662-673, 2008. ECOREF #110523"
153719234,Thiamethoxam,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,7,Active ingredient,0.0034,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Neochrysocharis okazakii,Chalcid Wasp,Mortality,Mortality,LC50,1,Active ingredient,0.0035,AI mg/L,2012,"Tran,D.H., and T. Ueno. Toxicity of Insecticides to Neochrysocharis okazakii, a Parasitoid Liriomyza Leafminers on Vegetables. J. Fac. Agric. Kyushu Univ.57:127-131, 2012. ECOREF #167908"
138261413,Imidacloprid,Heptageniidae,Mayfly Family,Mortality,Mortality,LC50,4,Active ingredient,0.0037,AI mg/L,2011,"LeBlanc,H.M.K. Single and Combined Effects of the Agricultural Insecticides Chlorpyrifos, Imidacloprid and Dimethoate on Freshwater Insect Larvae. M.S. Thesis, University of New Brunswick, Canada:113 p., 2011. ECOREF #167874"
138261413,Imidacloprid,Chaetopteryx villosa,Caddisfly,Mortality,Mortality,LC20,7,Active ingredient,0.00372,AI mg/L,2017,"Englert,D., J.P. Zubrod, M. Link, S. Mertins, R. Schulz, and M. Bundschuh. Does Waterborne Exposure Explain Effects Caused by Neonicotinoid-Contaminated Plant Material in Aquatic Systems?. Environ. Sci. Technol.51(10): 5793-5802, 2017. ECOREF #175425"
135410207,Acetamiprid,Simulium latigonium,Black Fly,Mortality,Mortality,LC50,4,Active ingredient,0.00373,AI mg/L,2008,"Beketov,M.A., and M. Liess. Potential of 11 Pesticides to Initiate Downstream Drift of Stream Macroinvertebrates. Arch. Environ. Contam. Toxicol.55:247-253, 2008. ECOREF #109202"
138261413,Imidacloprid,Simulium latigonium,Black Fly,Mortality,Mortality,LC50,4,Active ingredient,0.00373,AI mg/L,2008,"Beketov,M.A., and M. Liess. Potential of 11 Pesticides to Initiate Downstream Drift of Stream Macroinvertebrates. Arch. Environ. Contam. Toxicol.55:247-253, 2008. ECOREF #109202"
138261413,Imidacloprid,Apis mellifera,Honey Bee,Mortality,Mortality,NOEL,11,Formulation,0.004,AI ug/g food,2001,"Decourtye,A., M. Le Metayer, H. Pottiau, M. Tisseur, J.F. Odoux, and M.H. Pham-Delegue. Impairment of Olfactory Learning Performances in the Honey Bee After Long Term Ingestion of Imidacloprid. In: L.P.Belzunces, C.Pellissier and G.B.Lewis (Eds.), Hazard of Pesticides to Bees, INRA, Paris:113-117, 2001. ECOREF #168906"
138261413,Imidacloprid,Hyalella azteca,Scud,Mortality,Mortality,LC25,28,Active ingredient,0.00423,AI mg/L,2008,"Stoughton,S.J., K. Liber, J. Culp, and A. Cessna. Acute and Chronic Toxicity of Imidacloprid to the Aquatic Invertebrates Chironomus tentans and Hyalella azteca Under Constant- and Pulse-Exposure Conditions. Arch. Environ. Contam. Toxicol.54(4): 662-673, 2008. ECOREF #110523"
138261413,Imidacloprid,Plea minutissima,Water Bug,Mortality,Mortality,LC10,28,Formulation,0.00435,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
111988499,Thiacloprid,Baetis rhodani,Mayfly,Mortality,Mortality,LC50,4,Active ingredient,0.0046,AI mg/L,2008,"Beketov,M.A., and M. Liess. Potential of 11 Pesticides to Initiate Downstream Drift of Stream Macroinvertebrates. Arch. Environ. Contam. Toxicol.55:247-253, 2008. ECOREF #109202"
